move 0 0 agentA1
create task complexTask1 150 0,1,b0;-1,1,b0
terrain 0 10 obstacle
terrain 0 11 obstacle
terrain 0 12 obstacle
terrain 0 13 obstacle
terrain 1 11 obstacle
terrain 2 10 obstacle
terrain 2 11 obstacle
terrain 3 9 obstacle
terrain 3 10 obstacle
terrain 3 11 obstacle
terrain 4 9 obstacle
terrain 4 10 obstacle
terrain 4 11 obstacle
terrain 4 12 obstacle
terrain 4 48 obstacle
terrain 4 49 obstacle
terrain 5 9 obstacle
terrain 5 10 obstacle
terrain 5 11 obstacle
terrain 5 12 obstacle
terrain 5 48 obstacle
terrain 5 49 obstacle
terrain 6 2 obstacle
terrain 6 10 obstacle
terrain 6 11 obstacle
terrain 6 48 obstacle
terrain 6 49 obstacle
terrain 7 1 obstacle
terrain 7 2 obstacle
terrain 7 3 obstacle
terrain 7 6 obstacle
terrain 7 7 obstacle
terrain 7 48 obstacle
terrain 7 49 obstacle
terrain 8 6 obstacle
terrain 8 7 obstacle
terrain 8 48 obstacle
terrain 8 49 obstacle
terrain 9 6 obstacle
terrain 9 7 obstacle
terrain 9 48 obstacle
terrain 9 49 obstacle
terrain 10 6 obstacle
terrain 11 6 obstacle
terrain 20 18 obstacle
terrain 20 19 obstacle
terrain 20 23 obstacle
terrain 20 24 obstacle
terrain 20 42 obstacle
terrain 20 43 obstacle
terrain 21 17 obstacle
terrain 21 18 obstacle
terrain 21 19 obstacle
terrain 21 20 obstacle
terrain 21 21 obstacle
terrain 21 22 obstacle
terrain 21 23 obstacle
terrain 21 24 obstacle
terrain 21 25 obstacle
terrain 21 41 obstacle
terrain 21 42 obstacle
terrain 21 43 obstacle
terrain 21 44 obstacle
terrain 22 17 obstacle
terrain 22 18 obstacle
terrain 22 19 obstacle
terrain 22 20 obstacle
terrain 22 21 obstacle
terrain 22 22 obstacle
terrain 22 23 obstacle
terrain 22 24 obstacle
terrain 22 25 obstacle
terrain 22 33 obstacle
terrain 22 41 obstacle
terrain 22 42 obstacle
terrain 22 43 obstacle
terrain 22 44 obstacle
terrain 23 18 obstacle
terrain 23 19 obstacle
terrain 23 20 obstacle
terrain 23 23 obstacle
terrain 23 24 obstacle
terrain 23 33 obstacle
terrain 23 34 obstacle
terrain 23 42 obstacle
terrain 23 43 obstacle
terrain 24 7 obstacle
terrain 24 33 obstacle
terrain 25 7 obstacle
terrain 26 7 obstacle
terrain 27 8 obstacle
terrain 27 9 obstacle
terrain 27 15 obstacle
terrain 27 16 obstacle
terrain 28 5 obstacle
terrain 28 8 obstacle
terrain 28 9 obstacle
terrain 28 14 obstacle
terrain 28 15 obstacle
terrain 28 16 obstacle
terrain 28 17 obstacle
terrain 29 5 obstacle
terrain 29 8 obstacle
terrain 29 14 obstacle
terrain 29 15 obstacle
terrain 29 16 obstacle
terrain 29 17 obstacle
terrain 30 4 obstacle
terrain 30 5 obstacle
terrain 30 6 obstacle
terrain 30 14 obstacle
terrain 30 15 obstacle
terrain 30 16 obstacle
terrain 30 17 obstacle
terrain 30 24 obstacle
terrain 30 25 obstacle
terrain 31 3 obstacle
terrain 31 4 obstacle
terrain 31 5 obstacle
terrain 31 6 obstacle
terrain 31 7 obstacle
terrain 31 15 obstacle
terrain 31 16 obstacle
terrain 31 24 obstacle
terrain 31 25 obstacle
terrain 32 4 obstacle
terrain 32 5 obstacle
terrain 32 6 obstacle
terrain 32 7 obstacle
terrain 32 23 obstacle
terrain 32 24 obstacle
terrain 33 6 obstacle
terrain 33 7 obstacle
terrain 33 23 obstacle
terrain 33 24 obstacle
terrain 34 6 obstacle
terrain 34 24 obstacle
terrain 34 25 obstacle
terrain 34 36 obstacle
terrain 34 37 obstacle
terrain 35 25 obstacle
terrain 35 35 obstacle
terrain 35 36 obstacle
terrain 35 37 obstacle
terrain 35 38 obstacle
terrain 36 35 obstacle
terrain 36 36 obstacle
terrain 36 37 obstacle
terrain 36 38 obstacle
terrain 37 6 obstacle
terrain 37 36 obstacle
terrain 37 37 obstacle
terrain 38 6 obstacle
terrain 38 7 obstacle
terrain 39 6 obstacle
terrain 39 7 obstacle
terrain 40 7 obstacle
terrain 42 9 obstacle
terrain 42 10 obstacle
terrain 43 8 obstacle
terrain 43 9 obstacle
terrain 43 10 obstacle
terrain 43 11 obstacle
terrain 43 41 obstacle
terrain 44 8 obstacle
terrain 44 9 obstacle
terrain 44 10 obstacle
terrain 44 11 obstacle
terrain 44 41 obstacle
terrain 45 8 obstacle
terrain 45 9 obstacle
terrain 45 10 obstacle
terrain 45 11 obstacle
terrain 46 8 obstacle
terrain 46 9 obstacle
terrain 46 10 obstacle
terrain 46 11 obstacle
terrain 47 8 obstacle
terrain 47 9 obstacle
terrain 47 10 obstacle
